x,y,z,md,wellid
327138.0089,4406034.789,1113.39,131.06,15-12
327161.72,4405124.5,1166.36,85.34,22-13
327300.66,4405799.63,1059.52,188.98,26-12
327256.49,4407204.78,920.71,323.09,27-1
328156.6,4407954.33,933.81,323.09,64-1
327805.01,4407484.76,960.25,292.61,46-1
327661.35,4407291.29,950.36,298.7,47A-1
327859.51,4407555.78,954.97,298.7,56A-1
327746.25,4407308.5,940.92,310.9,47C-1
328014.47,4407720.54,1005.16,249.94,55-1
327891.35,4407452.89,937.24,316.99,56B-1
328156.6,4407954.33,1031.35,225.55,64-1
328229.72,4407079.21,1237.23,30.48,68A-1
328065.7,4407061.64,1236.39,21.34,68B-1
328214.13,4407181.69,1261.53,6.1,77-1
328567.28,4408511.94,1137.32,137.16,81-1
326859.34,4406949.5,849.99,393.19,81-11
328398.2,4408874.16,964.23,304.8,BCH-1
327732.14,4408006.28,918.22,335.28,BCH-2
327124.3987,4406010.879,717.77269,526.69,BCH-3
